"x.km.ns","y.km.ns","x.km.os","y.km.os","lon.ns","lat.ns","lon.os","lat.os"
-7237.10816877253,4687.31451683452,-7133.11224730637,4423.85774933883,-71.6159941338574,40.9299504603932,-69.7897528413581,38.6640423487173
-7331.32514776432,4656.62807061111,-7208.1786557478,4391.68775541533,-72.4463140246587,40.6312077440157,-70.4286755994526,38.3602833800619
-7426.23610271323,4626.28044354595,-7274.91973242505,4357.43871009734,-73.2830271993618,40.3351904839386,-70.9796204885209,38.0410552526029
-7506.71794564912,4568.66973542202,-7334.97003796537,4319.86012297034,-73.8887221805438,39.8067910860048,-71.4552915261043,37.6950028947707
-7578.83513171572,4499.99064477346,-7386.07138172036,4280.15254996561,-74.377189356843,39.1853230178852,-71.837665710147,37.3333219581338
-7642.62584832739,4427.35988009066,-7432.97675874453,4234.40988590592,-74.7731080350434,38.532770358366,-72.1622760437619,36.9205520544523
-7710.51394035802,4354.32796605703,-7473.88614986153,4184.05750532887,-75.2095482911942,37.875918955985,-72.4164302205689,36.4696929246104
-7772.31601529941,4276.13768043062,-7509.95813738158,4127.45307395045,-75.5731790353141,37.1768090194736,-72.6075859562452,35.966108090932
-7807.88799069625,4183.40647991449,-7551.67050853728,4049.11720249346,-75.6432626263895,36.3604337927909,-72.7957952590383,35.2720196374613
-7829.07650739892,4086.02172304167,-7615.53726183678,3939.95151027203,-75.56787011258,35.5085803198931,-73.1188757532343,34.3037674512012
-7898.378035771,4014.74730603449,-7725.60634459343,3815.99557709595,-76.034407103059,34.8687965388734,-73.8516522366257,33.1946860863832
-7987.98096497277,3974.56472163517,-7849.64203206451,3730.18369154373,-76.7827856095102,34.4928352692409,-74.8170721620551,32.4143131052488
-8078.28015097765,3931.8264851478,-7947.87034994346,3678.4220607064,-77.5298673245817,34.0947758227458,-75.6217299864629,31.9374927102592
-8165.54420577944,3884.23621016963,-8026.74995935609,3636.38589970214,-78.2337696557067,33.6559630935939,-76.2662022401581,31.5508320089912
-8249.93645572582,3832.94880971092,-8098.43119611922,3593.59399187694,-78.8996448870957,33.1864382575573,-76.84021952657,31.1599459474032
-8334.9377137123,3780.98664333591,-8164.69375884561,3548.65580962288,-79.5692458306175,32.7113227834638,-77.3575797105798,30.7523020361042
-8422.32367972758,3732.63393906925,-8216.42177351712,3507.39320833422,-80.2709927209966,32.2670808904699,-77.7465874634136,30.3808181271895
-8499.98827688447,3670.31592806269,-8248.77578601136,3473.28653364633,-80.8430395338463,31.7057495989147,-77.9701883154071,30.0768253917197
-8553.89709795596,3587.17318947756,-8263.57557208384,3449.17562179201,-81.1369055414498,30.9725800277361,-78.052389519949,29.8642322288797
-8576.12384847239,3490.85881944384,-8271.97991694114,3424.30767695187,-81.1025451137934,30.1357262954945,-78.072861972756,29.6468918610175
-8570.28448573328,3391.62636930939,-8276.560296374,3381.98802724175,-80.8043602442973,29.2819069715006,-78.0171939388297,29.2797205051266
-8548.24083134239,3294.52624251266,-8275.40975502652,3302.26537207341,-80.368218266073,28.4507059802922,-77.8244494982547,28.5906628249862
-8549.43397144326,3194.78814373688,-8274.38333325269,3189.98478860435,-80.1531733503824,27.5901605389474,-77.5678522185992,27.6199384299615
-8545.4397982101,3095.44481500286,-8281.13113542232,3068.8150370714,-79.8990818717856,26.7342789589787,-77.3761467866841,26.5703078819825
-8570.22781085036,2998.9948507091,-8334.78771238276,2870.61066450626,-79.9275665749481,25.8960889843103,-77.4832485692955,24.8436295883164
-8621.22266280455,2913.66647849274,-8448.57420654279,2725.59784556868,-80.2284508725583,25.1477861214385,-78.2681236160757,23.5647894982452
-8713.58610288007,2900.5296317943,-8832.0578875472,2675.510924306,-81.060355265158,25.0121500344743,-81.7228871903588,23.0469299951685
-8768.91409444555,2979.47568026969,-9008.4377558044,2852.17031973184,-81.737014483003,25.6782335124959,-83.7000762916543,24.5237088150994
-8805.55224079315,3072.17953515775,-9059.87931793724,2965.24174186297,-82.2765589384914,26.4666465948501,-84.4146460114504,25.4813960067017
-8835.85428812432,3167.39820237207,-9095.79134926726,3048.53864641652,-82.7716171799869,27.2776835787139,-84.9313498808387,26.1866278577895
-8859.55969065549,3262.97533819755,-9124.90104673294,3105.28238733427,-83.2151257057587,28.0930244331953,-85.3310377497973,26.6653971541752
-8909.41298205389,3348.58648412845,-9149.74331560211,3140.105982235,-83.8893821317684,28.814645333097,-85.6433541526764,26.9570945579004
-8986.66919015353,3410.577594286,-9169.34001954314,3158.39287356095,-84.7707258026427,29.3243683485144,-85.8692165181001,27.1083566146803
-9071.9090033866,3461.10801139185,-9190.65450009306,3170.63207386311,-85.7036235357594,29.7322337647991,-86.0973232832035,27.2072310207147
-9162.2416828791,3502.21015239295,-9214.65096196449,3177.21988236786,-86.6641626077242,30.0566445537746,-86.3373512179176,27.2568668576824
-9261.43636588848,3506.65231775803,-9242.50201648525,3178.37515307663,-87.6123724823294,30.0634722927171,-86.6005990025315,27.2588312374748
-9355.54189004748,3475.71342182665,-9290.45810993701,3171.39807314327,-88.4166764242094,29.768995871696,-87.0324675804074,27.185396151026
-9437.14672484546,3418.52872544184,-9367.16434637823,3152.14594533361,-89.0322931231446,29.2545069639431,-87.7036191724427,26.9987016884874
-9528.98904740892,3390.67203871331,-9502.01847218067,3124.92489903462,-89.8223918368901,28.9877289186759,-88.8984194008312,26.7272563202762
-9628.12213187767,3396.04579599717,-9663.8531120323,3131.78260518185,-90.7692330687099,29.0021016864132,-90.4264394972953,26.738545604104
-9719.00257149014,3436.16982602738,-9756.1037605267,3144.91818867603,-91.733830350509,29.3145823765123,-91.3204443940322,26.8230574712554
-9816.78055762196,3456.19412228461,-9817.55535495538,3149.42987202147,-92.710453926255,29.4527726005571,-91.905783462638,26.8430009359598
-9915.58254476942,3466.79193047345,-9865.75138405818,3145.95467327532,-93.6713114444869,29.5097922235043,-92.3473781612467,26.7988736317834
-10011.5784836571,3442.53076297233,-9917.82371476751,3134.06353732741,-94.5066650361731,29.2714185731079,-92.8039984552003,26.6819994528737
-10097.9636201182,3392.83610289933,-9971.71404148421,3113.77269093155,-95.1790590708376,28.8208393648241,-93.2564186342124,26.4932629165509
-10186.5844505397,3347.55550368604,-10025.0410441149,3085.48259821012,-95.8850313547468,28.4074769678891,-93.6835789055286,26.2369160259014
-10273.8275945763,3299.37062754535,-10065.1037063692,3056.17281135536,-96.5701045285328,27.970530580909,-93.9846698961841,25.9761086231342
-10340.9791058867,3226.65330734684,-10090.4732396856,3029.8770766819,-97.0007605022799,27.3334137039034,-94.1565700445554,25.7454289908574
-10378.3936079112,3134.904347696,-10112.1056217271,2996.22860907195,-97.1067962355873,26.5458191351505,-94.2762817127364,25.4536080794771
-10394.0845453526,3037.79234185382,-10143.390021478,2928.31744998151,-97.0039408114063,25.7201979584855,-94.4052644114144,24.868591259519
-10448.1353248902,2953.89329510061,-10177.3512349914,2847.21688289297,-97.2985506513073,24.9948501352307,-94.5323690455267,24.1713666115719
-10492.2718951462,2864.40845726836,-10205.8786342417,2769.40862761495,-97.4929401775915,24.2260316763486,-94.6215588521312,23.5039804102403
-10522.770586318,2769.31223563809,-10227.6343438911,2695.62504434069,-97.5544542806463,23.4144070217641,-94.6616096213786,22.8728634361091
-10547.9846749666,2673.38470617529,-10239.7659637857,2633.10348283491,-97.5729026575973,22.5976835385479,-94.640838179528,22.3399246744304
